id,store_code,substore_code,sap_store_code,sappayer_store_code,sales_base_code,sales_base_name,pref_code,sales_code,sales_name,intreatment_code,chain_code,chain_name,conflict_code,trading_halts_date,conflict_cl_type,conflict_care_type,shipment_dp_cl,shipment_dp_care,store_name_kanji,store_name_ryaku,store_name_kana,payer_name,postal_code,addr01,addr02,addr03,tel,fax,partner_store_id,deliverynote_no,create_date,discriminator_type,sap_create_date,sap_update_date,update_date,_BATCH_ID_,_BATCH_LAST_RUN_,JJ物販,JJ定期便,クーパー,アルコン,ボシュロム
1,27,0,27,0000000027,85,（旧）西日本メルス営業課,23,552,林　辰彦,0,,,0,,1,0,71,78,メニコン名古屋大名古屋ビル店あ,Ｍ名古屋大名古屋ビル,ﾒﾆｺﾝﾅｺﾞﾔ ﾀﾞｲﾅｺﾞﾔﾋﾞﾙﾃﾝ,メニコン名古屋大名古屋ビル店あ,4500002,名古屋市中村区名駅３－２８－１２,大名古屋ビル３Ｆ,．　＊５５,052-562-5511,052-586-4537,,0,2020-11-25 15:34:33,storemaster,2011-06-06 09:00:00,2015-06-17 09:00:00,2020-11-26 16:46:24,1409.0,2026-05-26 05:10:04,True,False,True,True,False
2,35,0,35,0000000035,10,西ブロック１課,23,4117,河内　広恭,0,5,ｷｸﾁﾒｶﾞﾈ,2,,1,1,71,78,（５０４）中日キクチコンタクト,中日キクチ,ﾁﾕｳﾆﾁｷｸﾁｺﾝﾀｸﾄ,（５０４）中日キクチコンタクト,4600008,名古屋市中区栄４丁目１番１号,中日ビル３Ｆ,．　＊５４,052-251-3535,052-263-7344,504,0,2020-11-25 15:34:33,storemaster,2011-06-06 09:00:00,2017-09-20 09:00:00,2020-11-26 16:46:24,1409.0,2026-05-26 05:10:04,True,False,True,True,False
3,43,0,43,0000000043,22,東海営業１課,23,6299,萩原　まりあ,0,5,ｷｸﾁﾒｶﾞﾈ,2,,1,1,71,78,（５０５）キクチメガネ近鉄パッセ店,近鉄パッセ　キクチ,ｷｸﾁﾒｶﾞﾈｷﾝﾃﾂﾊﾟｯｾﾃﾝ,（５０５）キクチメガネ近鉄パッセ店,4500002,名古屋市中村区名駅１丁目２－２,近鉄パッセ８Ｆ　メガネコーナー,．　＊５５,052-582-7992,052-561-5582,505,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-01 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
4,50,0,50,0000000050,22,東海営業１課,23,6299,萩原　まりあ,0,5,ｷｸﾁﾒｶﾞﾈ,2,,1,1,71,78,（５０１）東片端キクチコンタクト,東片端キクチコンタク,ﾋｶﾞｼｶﾀﾊ ｷｸﾁｺﾝﾀｸﾄ ﾎﾝﾃﾝ,（５０１）東片端キクチコンタクト,4610015,名古屋市東区東片端町４５番地２階,,．　＊５６,052-931-3233,052-931-2102,501,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-01 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,True,False,True,True,True
5,68,0,68,0000318420,25,東海第２営業チーム,23,5890,小泉　拓真,0,120,ﾜｺｳｺﾝﾀｸﾄ (ﾅｺﾞﾔ),2,,0,0,71,78,株式会社　メガネの和光,㈱メガネの和光,ｶﾌﾞ)ﾒｶﾞﾈﾉﾜｺｳ,和光コンタクト星ヶ丘店,4600008,名古屋市中区栄３－１５－４,栄メガネビル,,052-261-5005,,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2022-10-06 00:00:00,2023-01-19 22:30:02,1409.0,2026-05-26 05:10:04,False,False,True,True,True
6,68,1,700002,0000318420,22,東海営業１課,23,6299,萩原　まりあ,0,120,ﾜｺｳｺﾝﾀｸﾄ (ﾅｺﾞﾔ),2,,0,1,71,78,愛知県職員生協,和光栄愛知県生協,ｱｲﾁｹﾝｼﾖｸｲﾝｾｲｷｮｳ,和光コンタクト星ヶ丘店,4600001,名古屋市中区三の丸２－４－１,愛知県庁西庁舎倉庫,,052-961-2111,052-951-9881,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-01 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
7,68,2,700003,0000318420,25,東海営業２課,23,5357,塩田　優馬,0,120,ﾜｺｳｺﾝﾀｸﾄ (ﾅｺﾞﾔ),2,,0,1,71,78,刈谷生協,和光栄刈谷生協,ｶﾘﾔｾｲｷｮｳ,和光コンタクト星ヶ丘店,4441301,愛知県高浜市新田町５－２,刈谷生協衣浦センタ－,,0566-52-7788,0566-52-7722,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-02 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
8,68,3,700004,0000318420,22,東海営業１課,23,5785,志波　竜司,0,120,ﾜｺｳｺﾝﾀｸﾄ (ﾅｺﾞﾔ),2,,0,1,71,78,あいち生協,和光栄あいち生協,ｱｲﾁｾｲｷｮｳ,和光コンタクト星ヶ丘店,4570041,名古屋市南区薬師通１－１５,,,052-851-2121,052-821-2199,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-01 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
9,68,4,700005,0000318420,25,東海営業２課,23,5357,塩田　優馬,0,120,ﾜｺｳｺﾝﾀｸﾄ (ﾅｺﾞﾔ),2,,0,1,71,78,愛知中央生協,和光栄愛知中央生協,ｱｲﾁﾁｭｳｵｳｾｲｷｮｳ,和光コンタクト星ヶ丘店,4750846,愛知県半田市栄町１－８,,,0569-21-2916,,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-02 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
10,84,0,84,0000000084,22,東海営業１課,23,6299,萩原　まりあ,0,,,2,,1,1,71,78,同潤産業,同潤産業,ﾄﾞｳｼﾞﾕﾝｻﾝｷﾞﾖｳｶﾌﾞｼｷｶﾞｲｼﾔ,同潤産業,4600008,名古屋市中区栄五丁目１番３０号,,,052-251-6573,052-261-5097,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-01 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
11,123,0,123,0000000123,22,東海営業１課,23,6299,萩原　まりあ,0,,,1,,1,1,71,78,東海厚生事業,東海厚生事業,ﾄｲｶｲｺｳｾｲｼﾞｷﾞｮｳ,東海厚生事業,4670831,名古屋市瑞穂区惣作町２ー２,びいＶ堀田１０３号,クチダメガネ内,052-881-2109,052-872-6479,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-01 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,True,False,True,True,True
12,123,1,700007,0000000123,22,東海営業１課,23,6299,萩原　まりあ,0,,,1,,1,1,71,78,クチダ　時計店,クチダ　時計店,ｸﾁﾀﾞﾄｹｲﾃﾝ,東海厚生事業,4670831,名古屋市瑞穂区惣作町２－３,,,,,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-01 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
13,123,2,700008,0000000123,22,東海営業１課,23,6299,萩原　まりあ,0,,,1,,1,1,71,78,東海薬局,東海薬局,ﾄｳｶｲ ﾔﾂｷﾖｸ,東海厚生事業,4670831,名古屋市瑞穂区惣作町１ー１７,,,,,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-01 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
14,211,0,211,0000000211,22,東海営業１課,23,5785,志波　竜司,0,,,1,,1,1,71,78,南コンタクトレンズ,南コンタクトレンズ,ﾐﾅﾐｺﾝﾀｸﾄﾚﾝｽﾞ,南コンタクトレンズ,4570846,名古屋市南区道徳通り３－１２,,．　＊５２,052-691-2469,052-691-2469,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-01 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,True,False,True,True,False
15,237,0,237,0000000237,25,東海営業２課,23,5357,塩田　優馬,0,,,2,,1,1,71,78,清水コンタクトレンズ,清水コンタクトレンズ,ｼﾐｽﾞ ｺﾝﾀｸﾄﾚﾝｽﾞ,清水コンタクトレンズ,4640808,名古屋市千種区星ヶ丘山手１４０５,,清水眼科内　＊５６,052-781-9228,052-783-1779,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-02 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,True,True,True
16,252,0,252,0000000252,22,東海営業１課,23,6299,萩原　まりあ,0,,,2,,1,1,71,78,西垣コンタクトレンズ研究所,西垣コンタクトレンズ,ﾆｼｶﾞｷ ｺﾝﾀｸﾄﾚﾝｽﾞ ｹﾝｷﾕｳｼﾖ,西垣コンタクトレンズ研究所,4560058,名古屋市熱田区六番２丁目２－３０,,．　＊５５,052-661-0067,052-661-1637,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-01 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,True,False,True,True,True
